Date,Prev Close,Open,High,Low,Close,Change,Deals,Volume,Value
31/12/2012,700.00,700.00,700.00,700.00,700.00,,22.00,121496.00,85047633.18
18/03/2013,843.00,850.00,850.00,850.00,850.00,7.00,58.00,113107.00,96086643.45
08/04/2013,960.50,970.00,970.00,970.00,970.00,9.50,73.00,171478.00,166481969.39
17/04/2013,936.01,920.06,923.00,920.06,922.00,-14.01,71.00,162064.00,149373012.37
22/04/2013,930.00,930.01,930.01,930.01,930.01,0.01,77.00,104002.00,96631185.08
07/05/2013,910.00,910.00,910.00,910.00,910.00,,98.00,352103.00,320412966.26
08/05/2013,910.00,915.00,915.00,915.00,915.00,5.00,59.00,145882.00,133604764.58
17/05/2013,945.00,945.00,960.00,936.40,950.00,5.00,75.00,781849.00,742700116.22
30/05/2013,990.00,1000.00,1088.00,1000.00,1088.00,98.00,95.00,246337.00,248847060.13
03/06/2013,1001.01,1010.50,1010.50,1010.00,1010.00,8.99,127.00,175403.00,177155505.80
06/06/2013,1068.80,1061.00,1075.00,1061.00,1075.00,6.20,85.00,1007236.00,1082067875.69
07/06/2013,1075.00,1075.03,1075.50,1075.03,1075.17,0.17,94.00,169692.00,182639535.74
10/06/2013,1075.17,1070.00,1070.00,1070.00,1070.00,-5.17,117.00,481946.00,515565350.23
11/06/2013,1075.17,1070.00,1070.00,1070.00,1070.00,-5.17,117.00,481946.00,515565350.23
12/06/2013,1070.00,1050.00,1050.00,1000.00,1000.00,-70.00,83.00,301436.00,304663892.00
13/06/2013,1000.00,902.00,962.95,900.00,962.95,-37.05,194.00,478269.00,436200230.97
17/06/2013,975.00,980.00,1000.00,980.00,998.89,23.89,103.00,222244.00,221008829.43
18/06/2013,998.89,980.00,993.00,980.00,993.00,-5.89,74.00,268555.00,263828828.11
19/06/2013,993.00,990.00,991.00,990.00,991.00,-2.00,130.00,485891.00,481392627.52
20/06/2013,991.00,991.00,991.00,991.00,991.00,,134.00,169104.00,167570403.82
21/06/2013,991.00,991.00,993.00,991.00,991.00,,121.00,447614.00,443708499.20
24/06/2013,991.00,991.00,991.00,991.00,991.00,,103.00,117326.00,116161841.28
25/06/2013,991.00,993.00,993.00,993.00,993.00,2.00,75.00,148952.00,147180814.02
26/06/2013,993.00,993.00,993.00,993.00,993.00,,88.00,123364.00,119060530.83
27/06/2013,993.00,993.00,993.00,993.00,993.00,,115.00,228999.00,221459860.65
28/06/2013,993.00,960.00,960.00,960.00,960.00,-33.00,125.00,300959.00,289051665.18
01/07/2013,960.00,931.76,936.00,931.76,936.00,-24.00,60.00,61571.00,57636553.29
02/07/2013,936.00,940.00,950.00,940.00,950.00,14.00,77.00,353789.00,333424494.22
03/07/2013,950.00,950.00,950.00,950.00,950.00,,55.00,72232.00,68662824.01
04/07/2013,950.00,970.00,970.00,970.00,970.00,20.00,63.00,241641.00,234240642.50
05/07/2013,970.00,999.00,1004.00,999.00,1000.00,30.00,55.00,347673.00,347527768.28
08/07/2013,1000.00,990.00,994.00,990.00,994.00,-6.00,43.00,116237.00,115081576.70
09/07/2013,994.00,1000.00,1000.02,1000.00,1000.00,6.00,92.00,563712.00,563663973.97
10/07/2013,1000.00,1000.00,1000.00,1000.00,1000.00,,69.00,80635.00,80628399.00
11/07/2013,1000.00,1000.00,1000.00,1000.00,1000.00,,41.00,72831.00,72699477.84
12/07/2013,1000.00,999.99,999.99,999.99,999.99,-0.01,63.00,67277.00,67331363.80
15/07/2013,999.99,999.99,999.99,999.99,999.99,,111.00,88683.00,88766378.55
16/07/2013,999.99,999.99,999.99,999.99,999.99,,112.00,60667.00,60670740.04
17/07/2013,999.99,1000.00,1002.56,1000.00,1000.00,0.01,110.00,248678.00,248990146.74
18/07/2013,1000.00,1000.00,1000.00,1000.00,1000.00,,54.00,326639.00,326578513.86
19/07/2013,1000.00,1000.00,1000.00,1000.00,1000.00,,70.00,35107.00,35082350.68
22/07/2013,1000.00,1000.00,1000.00,999.00,999.00,-1.00,31.00,56401.00,56051687.19
23/07/2013,999.00,999.00,999.00,999.00,999.00,,72.00,77293.00,74866423.29
24/07/2013,999.00,999.00,999.00,999.00,999.00,,65.00,50596.00,49374222.01
25/07/2013,999.00,950.00,950.00,950.00,950.00,-49.00,55.00,98388.00,93515578.76
26/07/2013,950.00,955.02,955.02,955.02,955.02,5.02,45.00,83508.00,80014272.21
29/07/2013,955.02,959.00,959.00,959.00,959.00,3.98,47.00,41414.00,39679274.64
30/07/2013,959.00,995.00,995.00,995.00,995.00,36.00,128.00,124990.00,123831030.18
31/07/2013,995.00,1000.01,1000.01,990.22,990.22,-4.78,148.00,340182.00,338369579.96
